DataSize(Bytes),Pageable_H2D(MB/s),Pageable_D2H(MB/s),Pinned_H2D(MB/s),Pinned_D2H(MB/s),Mapped_H2D(MB/s),Mapped_D2H(MB/s)
187392,5668.32,3256.39,7252.88,7324.22,5498.12,7756.55
187904,5812.12,3139.44,7275.06,7267.98,5530.84,7716.12
188416,5875.21,3242.52,7287.78,7273.62,5484.97,7713.23
188928,5934.64,3190.53,7281.59,7286.31,5688.8,7739.51
189440,5864.19,3173.55,7256.75,7306.05,5508.05,7670.86
189952,5968.38,3162.13,7297.47,7285.73,5529.68,7712.55
190464,5691.92,3223.78,7314.78,7251.7,5377.8,7709.7
190976,5806.2,3169.44,7218.17,7264.23,5493.75,7733.05
191488,5851.61,3217.36,7281.39,7349.37,5575.76,7761.7
192000,5935.73,3435.63,7300.86,7343.02,5594.76,7761.34
192512,5985.71,3416.59,7292.41,7327.34,5600.1,7774.13
193024,5695.61,3359.65,7279.42,7339.79,5540.63,7716.38
193536,5855.66,3263.73,7278.01,7342.87,5556.67,7752.45
194048,5902.61,3362.75,7269.74,7327.31,5563.33,7772.96
194560,5846.57,3271.28,7374.68,7325.76,5613.11,7759.57
195072,5743.24,3222.17,7349.68,7408.22,5584.63,7715.46
195584,5999.85,3290.82,7418.21,7399.37,5560.56,7751.14
196096,6074.96,3310.65,7411.69,7409.34,5634.24,7781.78
196608,5974.38,3341.53,7393.53,7452.31,5625.9,7735.15
197120,5830.9,3260.97,7387.15,7436.25,5616.28,7812.01
197632,5864.97,3265.36,7348.59,7429.7,5636.26,7853.19
198144,5817.88,3424.27,7247.81,7344.72,5573.53,7842.17
198656,5743.79,3367.7,7302.39,7361.41,5639.83,7790.01
199168,5762.79,3392.3,7573.42,7578.26,5628.89,7810.09
199680,5800.12,3251.87,7410.87,7438.66,5654.09,7781.53
200192,5830.62,3323.32,7443.78,7537.82,5664.55,7771
200704,5916.37,3368.41,7453.51,7732.96,5711.57,7870.32
201216,5895.02,3330.58,7493.54,7449.32,5726.14,7750.18
201728,5878.23,3365.69,7465.96,7500.89,5679.7,7905.28
202240,5901.81,3311.66,7459.43,7524.62,5670.01,7789.62
202752,5937.1,3176.91,7432.33,7506.19,5743.8,7867.81
203264,5905.67,3438.97,7506.49,7378.49,5721.6,7826.54
203776,5909.02,3463.36,7513.76,7553.48,5723.84,7881.89
204288,5935.42,3405.54,7509.41,7541.97,5768.13,7845.69
204800,5937.27,3355.42,7586.72,7461.51,5783.95,7883.13
205312,5962.27,3365.66,7514.61,7526.17,5746.68,7949.04
205824,5948.15,3568.37,7558.88,7568.21,5738.1,7904.68
206336,5945.65,3575.17,7547.46,7515.17,5791.66,7924.35
206848,5886.42,3622.48,7598.83,7575.48,5782.88,7870.48
207360,5946.41,3603.39,7575.62,7559.4,5814.92,7963.67
207872,6079.56,3553.24,7541.17,7580.38,5783.03,7927.15
208384,5950.01,3558.42,7566.65,7643.48,5805.4,8003
208896,5999.12,3373.39,7509.75,6085.62,5391.28,7860.59
209408,5816.26,3212.38,7503.27,7580.74,5592.15,7960.26
209920,5763.34,3224.8,7496.83,7580.86,5740.86,7949.31
